id,image_id,title,artist_title,department_title,category_titles,classification_titles,subject_titles,date_display,place_of_origin
70065,2e796bd8-4e0b-f55a-7c69-75a70a3e97d7,Afterglow,Jonas Lie,Arts of the Americas,Arts of the Americas,"painting,modern and contemporary art",landscapes,c. 1913,United States
64476,d1cda60c-c21d-9fbc-8195-4e7c3d6e9650,The Winter Sun,George Gardner Symons,Arts of the Americas,Arts of the Americas,"oil on canvas,painting,modern and contemporary art","landscapes,Chicago",c. 1909,United States
16319,932f72b9-800d-dbb4-9f5c-3071be1476b1,Altarpiece from Thuison-les-Abbeville: Saint Honoré,French School,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"oil on panel,painting,european painting","Century of Progress,world's fairs,Chicago World's Fairs",1490/1500,France
73649,6361da9e-9179-dd0f-cf51-68e56db9b865,Still Life,Claude Venard,Modern Art,Modern Art,"painting,modern and contemporary art","still life,patterns,checkerboards,flowers,tables,water,oceans,masks,beaches,globes",n.d.,France
123402,9ce3ae9a-0990-9620-e4ab-3bcdc248566b,Portrait of Ichikawa Danjuro II as Kamakura no Gongorô,Furuyama Moromasa,Arts of Asia,Arts of Asia,"hanging scroll,painting,asian art",,1736,Japan
153700,3b96d8d0-68c9-cb16-e5ea-6d7889a9928c,Diego Seated in the Studio,Alberto Giacometti,Contemporary Art,Contemporary Art,"oil on canvas,painting,modern and contemporary art",,1950,Switzerland
154495,5bfd7409-b07d-dd6d-8f11-1ebb3ca034e5,Civil War Regalia of Major Levi Gheen McCauley,George Cope,Arts of the Americas,Arts of the Americas,"painting,american arts","military,medals,swords,regalia",1887,United States
20155,c5e50da8-6bff-ea02-ed3c-c154b356cceb,Apollo Granting Phaeton Permission to Drive the Chariot of the Sun,Johann Michael Rottmayr,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"oil on canvas,painting,european painting",,1690/95,Austria
46383,4346487d-e18a-d27e-76c1-7529c7f53742,Bacchic Revels,Johann Georg Platzer,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"oil on copper,painting,european painting",,c. 1740,Austria
62326,1d7d470b-4325-212b-1398-305b51a79cd1,Wings,Kurt Seligmann,Modern Art,Modern Art,"oil on panel,painting,modern and contemporary art","abstract shapes,curvilinear shapes",1930,Switzerland
86998,07d8dd31-d44b-85aa-ab09-ca51ee86f631,"Sandvika, Norway",Claude Monet,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"oil on canvas,painting,european painting","landscapes,weather/seasons",1895,France
16964,77245c86-908f-83a8-4a17-119633f80a5e,The Plough and the Song,Arshile Gorky,Contemporary Art,"Contemporary Art,Essentials","painting,modern and contemporary art","abstract figures,blue (color),brown (color),green (color)",1946–47,United States
22538,f69a2175-8425-3868-aaf3-eec6f83230ce,Horsemen of the Apocalypse,Carlo Carrà,Modern Art,Modern Art,"oil on canvas,painting,modern and contemporary art","biblical,war,animals,horses,horseback riding,nudes,mythological figures,horsemen,Christian subjects",1908,Italy
8993,173f1f33-67ab-545e-21a2-5ff4f12eddb7,The Stronghold,Amadeo de Souza Cardoso,,,"painting,modern and contemporary art","castles,gates,towers,strongholds,fortresses,trees,structures,landscapes",c. 1912,Portugal
19668,f92c9cee-ee61-2bcf-028d-d001a67586f0,"The Actor Sawamura Kamesaburo as Nagoya Kosanza in the play ""Keisei Fukubiki Nagoya,"" performed at the Nakamura Theater in the first month, 1731",Okumura Toshinobu,Arts of Asia,Arts of Asia,"woodcut,painting,asian art,print",,1731,Japan
59426,cefba431-1241-6240-3a92-ffa787e5fa49,White Crucifixion,Marc Chagall,Modern Art,"Modern Art,Essentials","painting,Modern Art Highlights","Jesus,fire,pogrom,war,candles,synagogue,Christianity,Christian subjects,Judaism,persecution,violence,WWII,crucifixions,religion,torah",1938,France
118569,2ba52998-3adf-80e3-8efb-54dd9d83b5cd,Bad Times,Philip Guston,Contemporary Art,Contemporary Art,"painting,modern and contemporary art",,1970,United States
234003,e263a6e3-ff14-8957-4861-b44353b8366f,Ecriture 46-73,Seo-Bo Park,Contemporary Art,Contemporary Art,painting,,1973,
134056,a481e513-cf95-38f9-5fed-c64e151f255b,Untitled,Le Corbusier (Charles-Édouard Jeanneret),Modern Art,Modern Art,"oil on canvas,painting,modern and contemporary art",,1932,France
111318,27c1d720-8ca5-79a4-5e51-530bf75c1591,Stack of Wheat,Claude Monet,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"oil on canvas,painting,european painting","seasons,weather/seasons,landscapes",1890/91,France
120296,ff5e49d3-448f-2aba-4461-6e36c1dc7dfa,Wind-Swept Sands,William Merritt Chase,Arts of the Americas,Arts of the Americas,"painting,american arts",landscapes,1894,Long Island
512,c6d153e4-bf86-24f4-c1a3-a9f2424919ff,The Music Lesson,Géraerd Ter Borch,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"painting,european painting","Century of Progress,world's fairs,Chicago World's Fairs",c. 1670,Netherlands
200675,c115f671-4540-56a5-7ece-42ef001b977c,Interior,Joe Zucker,Contemporary Art,"Contemporary Art,SAIC Alumni and Faculty",painting,,2005,United States
74134,a4cacb64-32ab-4600-4dda-5d7f223345ae,Charles W. Hawthorne,Albin Polasek,Arts of the Americas,"Chicago Artists,Arts of the Americas","painting,modern and contemporary art,sculpture","people,portraits",1917,United States
202218,1d5e62e7-29eb-727c-ca09-da723b2ea9f3,Bather/Night,Carroll Dunham,Contemporary Art,Contemporary Art,"acrylic paintings (visual works),painting",,2009,United States
